Process_Group	Monitoring_State	Process_Availability	Process_Group_Instance_Count	Technologies	Host_Count	Hosts	Service_Count	Services	Logs_Monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-0CFE1EA3EAD2E9E5;gtf=-2h", "amazon-ssm-agent")	MONITORING_OFF	OFF	1	GO(n/a)	1	ELK-Server (FULL)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-2706696365466504;gtf=-2h", "amazon-ssm-agent")	MONITORING_OFF	OFF	1	GO(n/a)	1	RFD-WEB-SITE (FULL)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-F326DA878EFA46A3;gtf=-2h", "amazon-ssm-agent.exe")	MONITORING_OFF	OFF	1	GO(n/a)	1	twdb-dev (INFRA)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-CD9294FB766909CF;gtf=-2h", "JBoss standalone wildfly-*.Final")	MONITORING_OFF	OFF	1	OPENTRACING(0.33.0), JBOSS(n/a), RXJAVA(3.1.4), JAVA(11.0.1+13), APACHE_LOG4J(2.17.2), WILDFLY(26.1.2.Final), JAVA(11.0.1)	1	twdb-dev (INFRA)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-2DDBB8CAFC290C87;gtf=-2h", "nginx")	MONITORING_ON	ON	1	NGINX(n/a), NGINX(nginx/1.20.0)	1	RFD-WEB-SITE (FULL)	1	rfdinc.com:80	/var/log/nginx/error.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-140DF90262D5CE5D;gtf=-2h", "nginx")	MONITORING_ON	OFF	1	NGINX(n/a), NGINX(nginx/1.18.0)	1	ELK-Server (FULL)	3	elastic.performance.rfdpoc.com:80, elastic.performance.rfdpoc.com:443, elastic.performance.rfdpoc.com:444	/var/log/nginx/access.log, /var/log/nginx/error.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-4AC1EE551AFA59B3;gtf=-2h", "org.elasticsearch.tools.java_version_checker.JavaVersionChecker")	MONITORING_ON	OFF	1	JAVA(19.0.2)	1	ELK-Server (FULL)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-B73FEECB4DBE91E6;gtf=-2h", "PHP-FPM")	MONITORING_ON	OFF	1	PHP(7.4.11), PHP_FPM(n/a)	1	ELK-Server (FULL)	0		/var/log/php-fpm/error.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-4878ADF124E0564D;gtf=-2h", "PHP-FPM")	MONITORING_ON	ON	1	PHP_FPM(n/a), SQLITE(n/a), PHP(7.4.28)	1	RFD-WEB-SITE (FULL)	2	PHP-FPM via domain socket /run/php-fpm/www.sock, PHP on FPM pool www	/var/log/php-fpm/error.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-BFB70FB547830939;gtf=-2h", "rfd-performance")	MONITORING_ON	OFF	1	APACHE_HTTP_CLIENT_SYNC(4.5.10), ELASTIC_SEARCH(n/a), APACHE_LOG4J(2.17.1), ELASTIC_SEARCH(7.17.9), NETTY(4.1.66.Final), JAVA(19.0.2)	1	ELK-Server (FULL)	3	Elasticsearch on localhost:9200, Elasticsearch rfd-performance on port 9200, Requests executed in background threads of Elasticsearch rfd-performance	/opt/elk/logs/rfd-performance.log, /opt/elk/logs/rfd-performance_deprecation.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-3D1CE05D38B3A9BB;gtf=-2h", "src/cli/dist.js (kibana)")	MONITORING_ON	OFF	1	NODE_JS(16.18.1)	1	ELK-Server (FULL)	1	kibana	/var/log/kibana/kibana.log
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-BF0816C9A2AEE454;gtf=-2h", "ssm-agent-worker")	MONITORING_OFF	OFF	1	GO(n/a)	1	ELK-Server (FULL)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-92BA8941E64AFBC3;gtf=-2h", "ssm-agent-worker")	MONITORING_OFF	OFF	1	GO(n/a)	1	RFD-WEB-SITE (FULL)	0		No log files monitored
=HYPERLINK("/#processgroupdetails;id=PROCESS_GROUP-8E5014E8C30BA1BD;gtf=-2h", "ssm-document-worker")	MONITORING_OFF	OFF	1	GO(n/a)	1	ELK-Server (FULL)	0		No log files monitored
